datetime,open,high,low,close,volume
2023-06-22 09:15:00,1920.86,1924.83,1914.68,1916.47,721.33694
2023-06-22 09:30:00,1916.47,1919.5,1912.58,1919.38,598.218
2023-06-22 09:45:00,1919.38,1919.76,1911.5,1912.0,469.90949
2023-06-22 10:00:00,1912.0,1915.49,1909.0,1915.18,612.31627
2023-06-22 10:15:00,1915.18,1924.73,1912.65,1923.47,1042.30963
2023-06-22 10:30:00,1923.47,1929.5,1919.01,1927.87,1095.41549
2023-06-22 10:45:00,1927.87,1932.88,1924.11,1930.16,1831.595
2023-06-22 11:00:00,1930.16,1930.62,1922.41,1923.8,866.79231
2023-06-22 11:15:00,1923.8,1924.37,1918.26,1919.46,559.42003
2023-06-22 11:30:00,1919.46,1919.46,1918.2,1918.68,223.94485
2023-06-22 11:45:00,1918.68,1918.99,1916.08,1918.35,214.80729
2023-06-22 12:00:00,1918.35,1919.08,1912.75,1913.2,531.57081
2023-06-22 12:15:00,1913.2,1916.25,1913.2,1914.43,253.73124
2023-06-22 12:30:00,1914.43,1918.1,1914.43,1917.22,268.25888
2023-06-22 12:45:00,1917.22,1919.67,1917.22,1919.24,250.45095
2023-06-22 13:00:00,1919.24,1919.5,1915.01,1915.16,206.54509
2023-06-22 13:15:00,1915.16,1916.5,1913.53,1914.5,305.07027
2023-06-22 13:30:00,1914.5,1915.49,1911.0,1911.5,474.25989
2023-06-22 13:45:00,1911.5,1912.99,1907.89,1911.36,398.70445
2023-06-22 14:00:00,1911.36,1911.7,1903.0,1903.98,654.37215
2023-06-22 14:15:00,1903.98,1909.67,1903.98,1909.23,464.56748
2023-06-22 14:30:00,1909.23,1909.79,1908.0,1908.86,283.33428
2023-06-22 14:45:00,1908.86,1910.2,1905.85,1909.75,156.13366
2023-06-22 15:00:00,1909.75,1910.97,1908.27,1908.27,169.89991
2023-06-22 15:15:00,1908.27,1910.72,1907.98,1908.03,253.96526
2023-06-22 15:30:00,1908.03,1909.92,1906.0,1908.25,624.12064
2023-06-22 15:45:00,1908.25,1911.59,1907.0,1910.61,348.81018
2023-06-22 16:00:00,1910.61,1911.57,1907.13,1909.31,179.60055
2023-06-22 16:15:00,1909.31,1909.5,1907.19,1907.19,202.82324
2023-06-22 16:30:00,1907.19,1908.41,1904.66,1905.28,508.23176
2023-06-22 16:45:00,1905.28,1908.5,1904.29,1907.7,407.13966
2023-06-22 17:00:00,1907.7,1912.0,1905.5,1911.66,274.06307
2023-06-22 17:15:00,1911.66,1912.31,1909.02,1909.98,291.00327
2023-06-22 17:30:00,1909.98,1909.98,1905.75,1908.01,265.8853
2023-06-22 17:45:00,1908.01,1909.76,1906.66,1907.34,259.20337
2023-06-22 18:00:00,1907.34,1907.93,1905.63,1907.5,351.591
2023-06-22 18:15:00,1907.5,1911.79,1906.5,1911.37,652.78413
2023-06-22 18:30:00,1911.37,1911.37,1908.64,1909.0,196.1554
2023-06-22 18:45:00,1909.0,1909.0,1905.15,1906.25,421.48762
2023-06-22 19:00:00,1906.25,1906.75,1881.33,1890.99,3120.78722
2023-06-22 19:15:00,1890.99,1897.99,1886.47,1893.89,1036.92812
2023-06-22 19:30:00,1893.89,1895.72,1892.01,1894.1,620.50744
2023-06-22 19:45:00,1894.1,1894.7,1882.44,1886.52,1310.32545
2023-06-22 20:00:00,1886.52,1895.59,1885.51,1895.16,788.80121
2023-06-22 20:15:00,1895.16,1895.58,1892.58,1894.53,803.97939
2023-06-22 20:30:00,1894.53,1898.62,1893.11,1898.61,589.52777
2023-06-22 20:45:00,1898.61,1898.61,1896.1,1897.9,297.12289
2023-06-22 21:00:00,1897.9,1901.25,1896.23,1898.99,503.96656
2023-06-22 21:15:00,1898.99,1909.3,1898.99,1903.04,969.60685
2023-06-22 21:30:00,1903.04,1903.3,1895.77,1896.86,1321.09828
2023-06-22 21:45:00,1896.86,1902.61,1896.86,1898.82,869.04483
2023-06-22 22:00:00,1898.82,1902.25,1897.01,1899.93,357.01397
2023-06-22 22:15:00,1899.93,1899.93,1889.9,1892.47,1204.03627
2023-06-22 22:30:00,1892.47,1892.47,1866.6,1874.1,2683.35313
2023-06-22 22:45:00,1874.1,1877.13,1866.63,1872.0,1461.79651
2023-06-22 23:00:00,1872.0,1879.49,1871.19,1874.38,1099.49838
2023-06-22 23:15:00,1874.38,1876.97,1871.81,1872.61,630.25712
2023-06-22 23:30:00,1872.61,1877.42,1870.26,1876.56,519.92085
2023-06-22 23:45:00,1876.56,1878.7,1875.08,1877.33,408.93875
2023-06-23 00:00:00,1877.33,1884.33,1876.27,1883.6,379.67884
2023-06-23 00:15:00,1883.6,1889.43,1880.01,1889.43,439.41948
2023-06-23 00:30:00,1889.43,1892.49,1884.01,1884.56,516.65224
2023-06-23 00:45:00,1884.56,1884.56,1875.61,1879.79,676.92911
2023-06-23 01:00:00,1879.79,1881.24,1877.51,1879.32,418.94606
2023-06-23 01:15:00,1879.32,1882.98,1878.28,1881.65,400.77325
2023-06-23 01:30:00,1881.65,1886.46,1880.25,1885.87,331.39092
2023-06-23 01:45:00,1885.87,1889.82,1885.58,1889.8,221.02443
2023-06-23 02:00:00,1889.8,1892.23,1886.54,1888.74,402.7552
2023-06-23 02:15:00,1888.74,1888.74,1884.29,1885.49,174.31646
2023-06-23 02:30:00,1885.49,1889.03,1880.29,1883.18,500.37167
2023-06-23 02:45:00,1883.18,1887.94,1882.09,1887.64,471.65617
2023-06-23 03:00:00,1887.64,1888.38,1884.82,1885.81,452.46101
2023-06-23 03:15:00,1885.81,1888.49,1884.83,1885.77,395.64222
2023-06-23 03:30:00,1885.77,1889.0,1883.44,1889.0,549.57585
2023-06-23 03:45:00,1889.0,1890.94,1886.43,1889.79,324.12678
2023-06-23 04:00:00,1889.79,1891.16,1884.69,1887.77,410.70209
2023-06-23 04:15:00,1887.77,1887.77,1881.53,1882.11,485.27976
2023-06-23 04:30:00,1882.11,1885.43,1882.1,1885.33,264.05679
2023-06-23 04:45:00,1885.33,1888.03,1884.53,1887.74,109.49651
2023-06-23 05:00:00,1887.74,1888.64,1886.86,1887.56,104.93441
2023-06-23 05:15:00,1887.56,1887.56,1884.0,1884.36,386.75123
2023-06-23 05:30:00,1884.36,1885.0,1877.5,1878.54,318.66147
2023-06-23 05:45:00,1878.54,1881.92,1878.54,1879.71,150.36252
2023-06-23 06:00:00,1879.71,1880.49,1876.68,1877.74,358.05597
2023-06-23 06:15:00,1877.74,1880.38,1876.43,1878.42,514.72592
2023-06-23 06:30:00,1878.42,1879.52,1876.34,1878.78,233.15722
2023-06-23 06:45:00,1878.78,1879.26,1869.29,1870.56,988.50888
2023-06-23 07:00:00,1870.56,1873.26,1867.31,1872.62,668.0968
2023-06-23 07:15:00,1872.62,1875.2,1872.62,1875.03,168.8546
2023-06-23 07:30:00,1875.03,1876.31,1873.51,1874.65,236.51164
2023-06-23 07:45:00,1874.65,1876.31,1872.0,1872.14,418.81816
2023-06-23 08:00:00,1872.14,1879.22,1871.6,1879.0,678.6049
2023-06-23 08:15:00,1879.0,1880.64,1877.12,1878.05,1686.43838
2023-06-23 08:30:00,1878.05,1880.0,1875.51,1876.64,541.03516
2023-06-23 08:45:00,1876.64,1876.92,1874.81,1876.77,389.82975
2023-06-23 09:00:00,1876.77,1881.17,1876.21,1880.5,631.55375
2023-06-23 09:15:00,1880.5,1881.87,1879.58,1880.19,302.00351
2023-06-23 09:30:00,1880.19,1880.45,1878.09,1879.0,193.85933
2023-06-23 09:45:00,1879.0,1879.5,1876.14,1876.14,201.97439
2023-06-23 10:00:00,1876.14,1876.22,1862.8,1868.49,1384.32363
2023-06-23 10:15:00,1868.49,1871.77,1867.05,1871.76,394.44823
2023-06-23 10:30:00,1871.76,1877.32,1871.76,1877.32,235.66083
2023-06-23 10:45:00,1877.32,1879.0,1876.17,1878.84,310.96384
2023-06-23 11:00:00,1878.84,1879.08,1878.1,1878.74,85.11561
2023-06-23 11:15:00,1878.74,1882.86,1878.52,1881.51,210.78654
2023-06-23 11:30:00,1881.51,1883.36,1880.37,1881.31,228.8558
2023-06-23 11:45:00,1881.31,1882.0,1881.23,1881.83,85.57418
2023-06-23 12:00:00,1881.83,1883.22,1881.83,1881.91,67.30549
2023-06-23 12:15:00,1881.91,1883.82,1880.6,1880.6,180.18329
2023-06-23 12:30:00,1880.6,1882.95,1880.52,1882.94,104.94309
2023-06-23 12:45:00,1882.94,1884.0,1880.88,1880.96,265.66919
2023-06-23 13:00:00,1880.96,1882.73,1880.96,1882.33,210.04074
2023-06-23 13:15:00,1882.33,1886.23,1882.05,1884.65,289.35147
2023-06-23 13:30:00,1884.65,1884.79,1883.04,1883.38,250.42393
2023-06-23 13:45:00,1883.38,1883.99,1882.45,1883.19,70.72776
2023-06-23 14:00:00,1883.19,1886.24,1883.19,1885.78,222.24005
2023-06-23 14:15:00,1885.78,1885.78,1882.59,1882.64,174.98406
2023-06-23 14:30:00,1882.64,1882.71,1880.96,1881.0,135.42074
2023-06-23 14:45:00,1881.0,1881.55,1877.12,1880.51,333.9145
2023-06-23 15:00:00,1880.51,1880.54,1876.91,1877.08,243.47918
2023-06-23 15:15:00,1877.08,1877.47,1875.08,1876.89,331.36443
2023-06-23 15:30:00,1876.89,1879.23,1876.89,1878.56,234.38233
2023-06-23 15:45:00,1878.56,1881.25,1878.55,1880.68,273.75299
2023-06-23 16:00:00,1880.68,1881.39,1878.93,1881.09,358.12855
2023-06-23 16:15:00,1881.09,1885.36,1881.09,1885.36,431.92659
2023-06-23 16:30:00,1885.36,1887.92,1884.51,1886.0,739.1474
2023-06-23 16:45:00,1886.0,1888.0,1884.53,1884.53,399.88667
